sentence_id,order,K,aopc_del,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1,fused,20,1.088082790374756e-05,0.9999038577079773,0.9999038577079773,0.9999076724052429,0.9999076724052429,0.9999048113822937,0.9999048113822937,0.9999014139175415,0.9999014139175415,0.9999014139175415,0.9999014139175415,0.9999014139175415,0.9999024868011475,0.9998799562454224,0.9998816251754761,0.9998816251754761,0.9998816251754761,0.9998816251754761,0.9998816251754761,0.9998816251754761,0.9998819828033447,0.9998694658279419
1,random,20,-5.424022674560547e-06,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999117255210876,0.9999069571495056,0.9999069571495056
1,least,20,-1.7523765563964843e-06,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999038577079773,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713,0.9999067783355713
2,fused,20,1.2642145156860351e-05,0.999958336353302,0.999958336353302,0.9999579191207886,0.9999579191207886,0.9999576807022095,0.9999575614929199,0.9999575614929199,0.9999575614929199,0.9999575614929199,0.9999509453773499,0.9999480843544006,0.9999480843544006,0.9999480843544006,0.999947190284729,0.9999445080757141,0.9999445080757141,0.9999445080757141,0.9999445080757141,0.9999445080757141,0.9998841881752014,0.9999026656150818
2,random,20,3.129243850708008e-07,0.999958336353302,0.9999582767486572,0.9999582171440125,0.9999582171440125,0.9999582171440125,0.9999582171440125,0.9999582171440125,0.9999582171440125,0.9999582171440125,0.9999581575393677,0.9999582767486572,0.9999582767486572,0.999957799911499,0.999957799911499,0.999957799911499,0.999957799911499,0.999957799911499,0.9999577403068542,0.9999577403068542,0.9999577403068542,0.9999577403068542
2,least,20,0.0,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302,0.999958336353302
3,fused,20,0.3818002104759216,0.9999584555625916,0.9999569058418274,0.9998226165771484,0.9998226165771484,0.9999034404754639,0.7293806672096252,0.5871738195419312,0.5028365254402161,0.5033721923828125,0.5146446824073792,0.5157456994056702,0.5091984868049622,0.5001382231712341,0.5003184080123901,0.5002305507659912,0.5001052021980286,0.5000868439674377,0.5001278519630432,0.5000975728034973,0.500091552734375,0.5001110434532166
3,random,20,8.940696716308594e-08,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999583959579468,0.9999583959579468,0.9999583959579468,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572,0.9999582767486572
3,least,20,0.0,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916,0.9999584555625916
4,fused,20,1.4182925224304199e-05,0.9999541640281677,0.9999541640281677,0.9999537467956543,0.9999536275863647,0.9999537467956543,0.9999533891677856,0.99995356798172,0.99995356798172,0.9999541640281677,0.9999546408653259,0.9999546408653259,0.9999544024467468,0.9999529719352722,0.9999526739120483,0.9999513626098633,0.9999038577079773,0.9999061822891235,0.9999068975448608,0.9999088048934937,0.9999088048934937,0.9999144077301025
4,random,20,1.2755393981933593e-06,0.9999541640281677,0.9999541640281677,0.9999541640281677,0.9999534487724304,0.9999534487724304,0.9999534487724304,0.9999534487724304,0.9999534487724304,0.9999534487724304,0.9999533295631409,0.9999533295631409,0.9999520778656006,0.9999520778656006,0.999952495098114,0.999952495098114,0.9999525547027588,0.9999525547027588,0.9999525547027588,0.9999520182609558,0.9999520182609558,0.9999512434005737
4,least,20,4.0829181671142576e-07,0.9999541640281677,0.9999541640281677,0.9999541640281677,0.9999541640281677,0.9999541640281677,0.9999541640281677,0.9999541640281677,0.9999541640281677,0.9999541640281677,0.9999541640281677,0.9999541640281677,0.9999535083770752,0.9999535083770752,0.9999535083770752,0.9999535083770752,0.9999535083770752,0.9999535083770752,0.9999535083770752,0.9999529719352722,0.9999529719352722,0.9999529719352722
5,fused,20,0.556461441796273,0.9966830015182495,0.9958290457725525,0.9958290457725525,0.9940893054008484,0.5052936673164368,0.5052936673164368,0.5052936673164368,0.5052936673164368,0.5052936673164368,0.5052936673164368,0.5085859894752502,0.5085859894752502,0.4236578941345215,0.014899196103215218,0.11093934625387192,0.11093934625387192,0.11093934625387192,0.11093934625387192,0.11093934625387192,0.3882479965686798,0.3882479965686798
5,random,20,0.026277923583984376,0.9966830015182495,0.9919605255126953,0.9919605255126953,0.9919605255126953,0.9919605255126953,0.9919605255126953,0.9919605255126953,0.9953032732009888,0.9964656829833984,0.9967114329338074,0.9967114329338074,0.9936966896057129,0.9936966896057129,0.9936966896057129,0.9936966896057129,0.9936966896057129,0.9815364480018616,0.9815364480018616,0.8465300798416138,0.8465300798416138,0.8465300798416138
5,least,20,0.5831705192569643,0.9966830015182495,0.9919605255126953,0.9919605255126953,0.9953035116195679,0.47875338792800903,0.47875338792800903,0.47875338792800903,0.47875338792800903,0.47875338792800903,0.47875338792800903,0.47875338792800903,0.47875338792800903,0.47875338792800903,0.025728827342391014,0.006711375899612904,0.006711375899612904,0.006711375899612904,0.002872047945857048,0.3111698627471924,0.3111698627471924,0.3111698627471924
6,fused,20,0.06172029972076416,0.5829094052314758,0.3353489339351654,0.31650587916374207,0.31650587916374207,0.31650587916374207,0.31650587916374207,0.4562574028968811,0.4562574028968811,0.4562574028968811,0.36964181065559387,0.4993847608566284,0.4709726572036743,0.4389422833919525,0.49016937613487244,0.478529691696167,0.478529691696167,0.478529691696167,0.9631819725036621,0.9631819725036621,0.9631819725036621,0.8593915700912476
6,random,20,0.09688446689397097,0.5829094052314758,0.5829094052314758,0.6700236797332764,0.6700236797332764,0.6700236797332764,0.6700236797332764,0.6700236797332764,0.4663185477256775,0.5027835369110107,0.5027835369110107,0.33093053102493286,0.33093053102493286,0.33093053102493286,0.33093053102493286,0.5011900663375854,0.46199941635131836,0.46199941635131836,0.5937720537185669,0.5937720537185669,0.3375155031681061,0.04161470755934715
6,least,20,-0.3336156398057938,0.5829094052314758,0.849245548248291,0.849245548248291,0.849245548248291,0.9136700630187988,0.9136700630187988,0.9136700630187988,0.9136700630187988,0.6738905906677246,0.6738905906677246,0.9008989334106445,0.9801095724105835,0.9801095724105835,0.9809209704399109,0.9911805391311646,0.9911805391311646,0.9911805391311646,0.9911805391311646,0.9911805391311646,0.9911805391311646,0.9911805391311646
7,fused,20,9.205937385559081e-06,0.9999533295631409,0.9999533295631409,0.9999532699584961,0.9999532699584961,0.9999418258666992,0.9999418258666992,0.9999418258666992,0.9999418258666992,0.9999414682388306,0.9999414682388306,0.9999423027038574,0.9999423027038574,0.9999423027038574,0.9999423027038574,0.9999439716339111,0.9999434351921082,0.9999434351921082,0.9999430775642395,0.9999430775642395,0.9999430775642395,0.9999430775642395
7,random,20,-3.3974647521972657e-07,0.9999533295631409,0.9999536871910095,0.9999538064002991,0.9999538064002991,0.9999538064002991,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999534487724304,0.9999534487724304,0.9999534487724304
7,least,20,0.0,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409
8,fused,20,0.6641644023358821,0.8927637934684753,0.40246453881263733,0.40246453881263733,0.40246453881263733,0.40246453881263733,0.40246453881263733,0.36597588658332825,0.36597588658332825,0.36597588658332825,0.1426527500152588,0.1426527500152588,0.11689038574695587,0.11689038574695587,0.11689038574695587,0.11689038574695587,0.11689038574695587,0.11689038574695587,0.11689038574695587,0.11939975619316101,0.11939975619316101,0.11939975619316101
8,random,20,0.20462494641542434,0.8927637934684753,0.777213990688324,0.777213990688324,0.6857011914253235,0.6857011914253235,0.6857011914253235,0.6857011914253235,0.7613672614097595,0.7613672614097595,0.9430890083312988,0.5414358377456665,0.9658410549163818,0.9658410549163818,0.9658410549163818,0.5343912839889526,0.5343912839889526,0.5343912839889526,0.5343912839889526,0.48650893568992615,0.4683437943458557,0.4683437943458557
8,least,20,-0.07606948018074036,0.8927637934684753,0.9595741033554077,0.9595741033554077,0.9595741033554077,0.9595741033554077,0.9595741033554077,0.9595741033554077,0.9618263244628906,0.9294863939285278,0.9294863939285278,0.9294863939285278,0.9884265661239624,0.9884265661239624,0.9884265661239624,0.986762285232544,0.9825775623321533,0.9825775623321533,0.9825775623321533,0.9897202253341675,0.9897202253341675,0.9897202253341675
9,fused,20,0.49177670809585833,0.9659674167633057,0.9659674167633057,0.9386084079742432,0.4264942407608032,0.4264942407608032,0.37382033467292786,0.3783227801322937,0.21476149559020996,0.21476149559020996,0.44277265667915344,0.5134593844413757,0.5134593844413757,0.5134593844413757,0.5134593844413757,0.5134593844413757,0.8909841775894165,0.00010263592412229627,0.00010263592412229627,0.5477749109268188,0.5477749109268188,0.5477749109268188
9,random,20,0.005895081162452698,0.9659674167633057,0.9659674167633057,0.9659674167633057,0.9205385446548462,0.9205385446548462,0.8985265493392944,0.964897096157074,0.964897096157074,0.9629886150360107,0.9629886150360107,0.9934144020080566,0.9934144020080566,0.9934144020080566,0.9884442687034607,0.9884442687034607,0.9884442687034607,0.9830907583236694,0.9203668832778931,0.9417010545730591,0.9417010545730591,0.9417010545730591
9,least,20,0.2139553889632225,0.9659674167633057,0.9288560152053833,0.9288560152053833,0.9288560152053833,0.8839559555053711,0.8839559555053711,0.8839559555053711,0.8839559555053711,0.8839559555053711,0.8992899060249329,0.7179886698722839,0.7367424368858337,0.7367424368858337,0.7367424368858337,0.7367424368858337,0.6266583204269409,0.6266583204269409,0.499163419008255,0.49944233894348145,0.5088610053062439,0.5088610053062439
10,fused,20,-5.602836608886719e-07,0.9999545812606812,0.9999545812606812,0.9999545812606812,0.9999545812606812,0.9999545216560364,0.9999545216560364,0.9999545216560364,0.9999545216560364,0.9999545216560364,0.9999546408653259,0.9999536871910095,0.9999536871910095,0.9999560713768005,0.9999560713768005,0.9999558925628662,0.9999560713768005,0.9999560713768005,0.9999560713768005,0.9999560713768005,0.9999560713768005,0.9999560713768005
10,random,20,6.049871444702149e-07,0.9999545812606812,0.9999545812606812,0.9999545812606812,0.9999545812606812,0.9999545812606812,0.9999545216560364,0.999954104423523,0.999954104423523,0.999954104423523,0.999954104423523,0.999954104423523,0.999954104423523,0.9999537467956543,0.9999537467956543,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999536871910095,0.9999532699584961,0.9999532699584961,0.9999532699584961
10,least,20,-2.6226043701171877e-07,0.9999545812606812,0.9999545812606812,0.9999545812606812,0.9999539852142334,0.9999539852142334,0.9999555349349976,0.9999555349349976,0.9999555349349976,0.9999555349349976,0.9999555349349976,0.9999555349349976,0.9999555349349976,0.9999555349349976,0.9999555349349976,0.9999555349349976,0.9999555349349976,0.9999555349349976,0.9999533295631409,0.9999533295631409,0.9999533295631409,0.9999533295631409
